exchange,symbol,funding,next_funding,short_ma,long_ma,positive_ratio,volatility,timestamp
binance,BTC/USDT:USDT,4.904e-05,2026-03-24T16:00:00.000Z,-9.677142857142857e-06,-8.724000000000002e-06,0.4666666666666667,3.7019884875863974e-05,1774342015001.0
binance,TRX/USDT:USDT,9.752e-05,2026-03-24T16:00:00.000Z,1.8669523809523805e-05,-3.959655555555556e-05,0.43333333333333335,0.00011153535615619332,1774342015001.0
binance,BCH/USDT:USDT,7.132e-05,2026-03-24T16:00:00.000Z,3.0541904761904765e-05,-3.468066666666667e-05,0.5333333333333333,0.00011639806129721404,1774342015001.0
binance,LINK/USDT:USDT,8.878e-05,2026-03-24T16:00:00.000Z,1.2095714285714288e-05,2.276966666666667e-05,0.6833333333333333,6.426535332423598e-05,1774342015001.0
binance,ETH/USDT:USDT,1.682e-05,2026-03-24T16:00:00.000Z,-4.813333333333335e-06,-1.2335888888888886e-05,0.425,6.040314415513807e-05,1774342015001.0
binance,LTC/USDT:USDT,8.43e-05,2026-03-24T16:00:00.000Z,3.3066666666666666e-06,8.699444444444444e-06,0.5666666666666667,5.8507985530407636e-05,1774342015001.0
binance,ETC/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,4.508571428571426e-06,-2.3157000000000005e-05,0.5333333333333333,9.644343382464609e-05,1774342015001.0
binance,XRP/USDT:USDT,2.47e-05,2026-03-24T16:00:00.000Z,-5.677619047619046e-06,-3.552088888888889e-05,0.325,8.116880256904777e-05,1774342015001.0
binance,XLM/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,2.8902857142857148e-05,-1.6223555555555553e-05,0.5166666666666667,0.00010364941946824482,1774342015001.0
binance,ADA/USDT:USDT,4.95e-06,2026-03-24T16:00:00.000Z,-6.325857142857144e-05,-2.5864111111111114e-05,0.4583333333333333,9.916405199350637e-05,1774342015001.0
binance,XMR/USDT:USDT,0.00017223,2026-03-24T16:00:00.000Z,0.00011168238095238096,0.00010272588888888892,1.0,1.6266546488413644e-05,1774342015001.0
binance,DASH/USDT:USDT,7.024e-05,2026-03-24T16:00:00.000Z,-2.1152380952380952e-05,-3.262466666666665e-05,0.55,0.00021594253397985052,1774342015001.0
binance,ZEC/USDT:USDT,-2.49e-06,2026-03-24T16:00:00.000Z,3.9176190476190495e-06,-2.9884222222222225e-05,0.49166666666666664,0.00010476579380522484,1774342016000.0
binance,XTZ/USDT:USDT,4.651e-05,2026-03-24T12:00:00.000Z,3.3180952380952385e-05,1.7346444444444443e-05,0.7666666666666667,7.603807474617021e-05,1774342016000.0
binance,ATOM/USDT:USDT,-0.0001206,2026-03-24T16:00:00.000Z,-0.0001247866666666667,-0.00041278955555555555,0.2916666666666667,0.0006028355073054524,1774342016000.0
binance,ONT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,6.4061904761904735e-06,-2.9537222222222227e-05,0.675,0.00015301765259376305,1774342016000.0
binance,BNB/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,-1.6489047619047615e-05,-3.847444444444444e-06,0.0,1.6405675280727298e-05,1774342016000.0
binance,IOTA/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,3.3140952380952386e-05,5.1336555555555564e-05,0.7666666666666667,8.172284850635748e-05,1774342016000.0
binance,BAT/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,1.9124761904761902e-05,3.485555555555557e-06,0.6916666666666667,0.00010714793144523628,1774342016000.0
binance,VET/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,4.364761904761905e-06,-2.247466666666667e-05,0.5166666666666667,0.00011743758549532692,1774342016000.0
binance,NEO/USDT:USDT,3.437e-05,2026-03-24T16:00:00.000Z,-0.00010846809523809523,-0.0001391173333333333,0.4,0.0007036290106033426,1774342016000.0
binance,QTUM/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,5.518904761904761e-05,5.6128444444444465e-05,0.875,0.00012507214529478133,1774342016000.0
binance,IOST/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,9.747952380952382e-05,2.9366666666666664e-05,0.8166666666666667,0.00013212691844081834,1774342016000.0
binance,ALGO/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-8.302380952380955e-06,-3.8699555555555556e-05,0.44166666666666665,0.0001407530658043843,1774342016000.0
binance,THETA/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-7.465523809523809e-05,-5.63708888888889e-05,0.475,0.00015686040405615346,1774342016000.0
binance,ZIL/USDT:USDT,-4.257e-05,2026-03-24T12:00:00.000Z,-0.00022091047619047624,-9.812944444444445e-05,0.45,0.00019822216870427582,1774342016000.0
binance,KNC/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,5.7370476190476205e-05,-0.0003072345555555557,0.6833333333333333,0.0015667482522499496,1774342016000.0
binance,ZRX/USDT:USDT,-0.00027486,2026-03-24T12:00:00.000Z,-0.00013250285714285715,-6.988866666666666e-05,0.25,0.00011226784233289305,1774342016000.0
binance,COMP/USDT:USDT,-4.254e-05,2026-03-24T16:00:00.000Z,-0.00016398999999999998,-0.00024660233333333333,0.08333333333333333,0.0015707279349884222,1774342017001.0
binance,OMG/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,9.999999999999999e-05,0.00010000000000000002,1.0,2.710505431213761e-20,1774342017001.0
binance,KAVA/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.2054285714285714e-05,-2.737877777777776e-05,0.48333333333333334,0.0012899711439377855,1774342017001.0
binance,DOGE/USDT:USDT,4.366e-05,2026-03-24T16:00:00.000Z,-2.222761904761905e-05,-2.197022222222222e-05,0.39166666666666666,7.292190162750984e-05,1774342017001.0
binance,SXP/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,-0.0030448523809523806,-0.0006540696666666666,0.7166666666666667,0.002345534723051743,1774342017001.0
binance,RLC/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,9.999999999999999e-05,6.524811111111111e-05,0.8333333333333334,8.51298203819956e-05,1774342017001.0
binance,BAND/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,9.999999999999999e-05,3.2569333333333333e-05,0.7833333333333333,0.00012562530661187017,1774342017001.0
binance,WAVES/USDT:USDT,0.0,1970-01-01T00:00:00.000Z,9.999999999999999e-05,0.00010000000000000002,1.0,2.710505431213761e-20,1774342017001.0
binance,MKR/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,0.00012403904761904764,7.804111111111112e-05,0.8916666666666667,0.00012187428443675978,1774342017001.0
binance,SNX/USDT:USDT,4.071e-05,2026-03-24T16:00:00.000Z,-7.090857142857142e-05,-0.00012576466666666667,0.35833333333333334,0.0007984065481552364,1774342017001.0
binance,DEFI/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,0.0005999395238095238,0.00035324111111111105,0.8583333333333333,0.0006894634727525455,1774342017001.0
binance,YFI/USDT:USDT,-0.00012654,2026-03-24T16:00:00.000Z,4.1516190476190485e-05,1.6369999999999997e-05,0.625,8.93247532260173e-05,1774342017001.0
binance,DOT/USDT:USDT,-0.0003835,2026-03-24T16:00:00.000Z,-4.905714285714286e-05,-0.00017066222222222223,0.325,0.0003150737671570827,1774342017001.0
binance,CRV/USDT:USDT,-0.0001126,2026-03-24T16:00:00.000Z,3.9321428571428575e-05,5.947044444444446e-05,0.8083333333333333,8.532191863742998e-05,1774342017001.0
binance,BAL/USDT:USDT,0.0,1970-01-01T00:00:00.000Z,9.999999999999999e-05,0.00010000000000000002,1.0,2.710505431213761e-20,1774342017001.0
binance,TRB/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,3.676571428571429e-05,4.096111111111112e-05,0.9,2.322333695143147e-05,1774342018000.0
binance,RUNE/USDT:USDT,-7.695e-05,2026-03-24T16:00:00.000Z,8.817619047619051e-06,2.362888888888889e-05,0.675,0.00011540802004190636,1774342018000.0
binance,SUSHI/USDT:USDT,9.755e-05,2026-03-24T16:00:00.000Z,3.264857142857143e-05,3.8271777777777784e-05,0.75,6.027793165361184e-05,1774342018000.0
binance,EGLD/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,6.328857142857145e-05,4.5762777777777784e-05,0.8333333333333334,7.735252217171971e-05,1774342018000.0
binance,ICX/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,5.595238095238097e-06,-1.8426333333333333e-05,0.5583333333333333,0.0018364650313244012,1774342018000.0
binance,SOL/USDT:USDT,4.463e-05,2026-03-24T16:00:00.000Z,-3.6014761904761894e-05,-4.169666666666666e-05,0.325,9.006617276249353e-05,1774342018000.0
binance,BLZ/USDT:USDT,0.0,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.000000000000001e-05,1.0,1.3552527156068805e-20,1774342018000.0
binance,STORJ/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,1.6830476190476194e-05,-4.3440333333333325e-05,0.5833333333333334,0.00023645831812957367,1774342018000.0
binance,UNI/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-1.6633333333333332e-05,2.1232888888888892e-05,0.7083333333333334,5.756255435393742e-05,1774342018000.0
binance,AVAX/USDT:USDT,4.697e-05,2026-03-24T16:00:00.000Z,-1.6952380952380822e-07,2.2400000000000238e-07,0.5833333333333334,9.711484058831099e-05,1774342018000.0
binance,FTM/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,9.999999999999999e-05,0.00010000000000000002,1.0,2.710505431213761e-20,1774342018000.0
binance,ENJ/USDT:USDT,-0.00045712,2026-03-24T12:00:00.000Z,-0.00021842190476190475,-0.0005312331111111112,0.0,0.0010563494450226004,1774342018000.0
binance,REN/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,9.999999999999999e-05,0.00010000000000000002,1.0,2.710505431213761e-20,1774342018000.0
binance,FLM/USDT:USDT,0.0,2026-03-24T12:00:00.000Z,0.0006050028571428571,0.0005504167777777778,0.9916666666666667,0.0007770463707651772,1774342018000.0
binance,KSM/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,4.785285714285715e-05,-3.442511111111111e-05,0.6083333333333333,0.00016568303745553752,1774342018000.0
binance,NEAR/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,4.808619047619049e-05,-3.3826666666666643e-06,0.625,0.00011965766365619765,1774342018000.0
binance,AAVE/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,2.0531428571428573e-05,1.3753555555555558e-05,0.6333333333333333,6.947773075757599e-05,1774342019000.0
binance,FIL/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,1.1133333333333338e-06,-3.309811111111111e-05,0.5416666666666666,0.00019000395932013202,1774342019000.0
binance,RSR/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,5.133904761904761e-05,4.121e-05,0.6833333333333333,7.190214896707422e-05,1774342019000.0
binance,OCEAN/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,9.999999999999999e-05,0.00010000000000000002,1.0,2.710505431213761e-20,1774342019000.0
binance,LRC/USDT:USDT,0.0,2026-03-24T12:00:00.000Z,-0.0006680652380952381,-0.00029299955555555556,0.5666666666666667,0.0006081474749843383,1774342019000.0
binance,BEL/USDT:USDT,2.843e-05,2026-03-24T16:00:00.000Z,4.412285714285715e-05,-0.00013306933333333336,0.7333333333333333,0.001099975857102618,1774342019000.0
binance,AXS/USDT:USDT,-0.00056546,2026-03-24T12:00:00.000Z,-0.0006079747619047618,-0.0005785727777777778,0.008333333333333333,0.0004918186826709206,1774342019000.0
binance,ALPHA/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,0.0009967090476190475,0.0004769355555555555,1.0,0.0005624603380221517,1774342019000.0
binance,ZEN/USDT:USDT,7.46e-05,2026-03-24T16:00:00.000Z,2.2996190476190476e-05,1.2866777777777777e-05,0.6833333333333333,8.416051415532637e-05,1774342019000.0
binance,SKL/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.445095238095239e-05,4.470733333333333e-05,0.925,0.0003285591117729046,1774342019000.0
binance,GRT/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,1.6473809523809524e-05,-1.1393222222222219e-05,0.6083333333333333,0.0001631363691730701,1774342019000.0
binance,CHZ/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,4.213190476190476e-05,3.858066666666667e-05,0.7916666666666666,6.774219154182192e-05,1774342019000.0
binance,SAND/USDT:USDT,-5.669e-05,2026-03-24T16:00:00.000Z,-0.00014014714285714283,-0.0002028158888888889,0.21666666666666667,0.00021877717071065646,1774342019000.0
binance,1INCH/USDT:USDT,-3.181e-05,2026-03-24T16:00:00.000Z,5.4647142857142864e-05,3.498888888888889e-05,0.7083333333333334,0.0001201936106489292,1774342019000.0
binance,ANKR/USDT:USDT,-0.00010385,2026-03-24T12:00:00.000Z,-0.0014088557142857142,-0.0009070616666666667,0.3,0.002255097080746999,1774342019000.0
binance,UNFI/USDT:USDT,0.0,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.000000000000001e-05,1.0,1.3552527156068805e-20,1774342019000.0
binance,REEF/USDT:USDT,0.0,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.000000000000001e-05,1.0,1.3552527156068805e-20,1774342019000.0
binance,RVN/USDT:USDT,-9e-05,2026-03-24T12:00:00.000Z,-0.0001361742857142857,-8.034066666666666e-05,0.825,0.0003840541361088738,1774342020000.0
binance,SFP/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,6.768238095238096e-05,7.462411111111114e-05,0.9333333333333333,3.960851540038105e-05,1774342020000.0
binance,XEM/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,9.999999999999999e-05,0.00010000000000000002,1.0,2.710505431213761e-20,1774342020000.0
bybit,0G/USDT:USDT,-0.00148393,2026-03-24T12:00:00.000Z,-0.0009433852380952381,-0.0004265957777777777,0.125,0.0004700636048060116,1774342020507.0
binance,BTCST/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,9.999999999999999e-05,0.00010000000000000002,1.0,2.710505431213761e-20,1774342020000.0
bybit,1000000BABYDOGE/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9652857142857144e-05,6.0034888888888895e-05,0.9666666666666667,8.317532258562166e-05,1774342020619.0
bybit,1000000MOG/USDT:USDT,-0.00050103,2026-03-24T12:00:00.000Z,-0.00026204809523809526,-8.174844444444443e-05,0.7166666666666667,0.0003295798990775037,1774342020609.0
bybit,1000000CHEEMS/USDT:USDT,-4.573e-05,2026-03-24T12:00:00.000Z,-0.00039058428571428575,-0.00012827355555555556,0.7583333333333333,0.00040521052841886165,1774342020607.0
bybit,10000QUBIC/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,0.0005091376190476189,0.00015683066666666667,0.975,0.0009868001637581743,1774342020706.0
bybit,1000BONK/USDT:USDT,-0.0001023,2026-03-24T12:00:00.000Z,-0.00011163142857142857,-3.1524e-05,0.525,0.0001029182100881569,1774342020962.0
bybit,1000FLOKI/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-6.023523809523811e-05,-2.7083e-05,0.5166666666666667,0.00015400531177843255,1774342021063.0
bybit,1000NEIROCTO/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.971380952380953e-05,4.993322222222223e-05,1.0,5.463446650746725e-07,1774342021073.0
bybit,10000SATS/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.000000000000001e-05,0.9916666666666667,1.3792217320074638e-05,1774342021011.0
bybit,1000LUNC/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-2.1777619047619045e-05,-1.0973111111111109e-05,0.6666666666666666,0.00016655053623948414,1774342021064.0
bybit,1000BTT/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-0.0002516728571428571,-0.0004153845555555555,0.43333333333333335,0.0011135447408738232,1774342021010.0
bybit,1000CAT/USDT:USDT,0.00079836,2026-03-24T12:00:00.000Z,6.076e-05,0.00020909922222222228,1.0,0.00022985021214526262,1774342021115.0
bybit,1000PEPE/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-0.00017246619047619048,-0.00013102144444444443,0.4,0.00019462681128806412,1774342021164.0
bybit,1000RATS/USDT:USDT,0.00014999,2026-03-24T12:00:00.000Z,0.00037215904761904754,0.00013892055555555556,1.0,0.00017075094865278608,1774342021375.0
bybit,1INCH/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,5.196428571428571e-05,3.5467222222222216e-05,0.7666666666666667,0.00010244089721707287,1774342021468.0
bybit,1000TAG/USDT:USDT,5.521e-05,2026-03-24T12:00:00.000Z,0.00019629476190476187,4.904566666666667e-05,0.8916666666666667,0.000224154966833448,1774342021470.0
bybit,1000TURBO/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-0.0011149580952380955,-0.00032275422222222225,0.4583333333333333,0.0020433153688836445,1774342021467.0
bybit,1000TOSHI/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,2.0643809523809533e-05,1.4642444444444443e-05,0.75,0.00024849890241808524,1774342021476.0
bybit,1000XEC/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,9.999999999999999e-05,5.534700000000002e-05,0.775,0.00018053730204309576,1774342021468.0
bybit,2Z/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-0.00014985285714285714,-0.0001313128888888889,0.16666666666666666,0.00014529494651395502,1774342021570.0
bybit,4/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,0.00042107809523809527,0.0002171372222222222,1.0,0.00022988224782066868,1774342021567.0
